Etiquette,Presentation (FR)
ADJ.NSUFF_FEM_SG.IVSUFF_DO:2S,adjectif + suffixe nominal féminin singulier + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)
ADJ.NSUFF_FEM_SG.IVSUFF_DO:3FS,adjectif + suffixe nominal féminin singulier + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
ADJ.NSUFF_FEM_SG.IVSUFF_DO:3MP,adjectif + suffixe nominal féminin singulier + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)
ADJ.NSUFF_FEM_SG.IVSUFF_DO:3MS,adjectif + suffixe nominal féminin singulier + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)
ADJ.NSUFF_FEM_SG.POSS_PRON_1S,"adjectif + suffixe nominal féminin singulier + pronom possessif, 1re pers. sg."
ADJ.NSUFF_FEM_SG.POSS_PRON_2S,"adjectif + suffixe nominal féminin singulier + pronom possessif, 2e pers. sg."
ADJ.NSUFF_FEM_SG.POSS_PRON_3FS,"adjectif + suffixe nominal féminin singulier + pronom possessif, 3e pers. fém. sg."
ADJ.NSUFF_FEM_SG.POSS_PRON_3MS,"adjectif + suffixe nominal féminin singulier + pronom possessif, 3e pers. masc. sg."
ADJ.NSUFF_MASC_PL,adjectif + suffixe nominal masculin pluriel
ADJ.NSUFF_MASC_PL.IVSUFF_DO:1S,adjectif + suffixe nominal masculin pluriel + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)
ADJ.NSUFF_MASC_PL.IVSUFF_DO:3FS,adjectif + suffixe nominal masculin pluriel + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
ADJ.NSUFF_MASC_PL.IVSUFF_DO:3MP,adjectif + suffixe nominal masculin pluriel + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)
ADJ.NSUFF_MASC_PL.IVSUFF_DO:3MS,adjectif + suffixe nominal masculin pluriel + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)
ADJ.NSUFF_MASC_PL.NEG,adjectif + suffixe nominal masculin pluriel + marque de négation
ADJ.POSS_PRON_1P,"adjectif + pronom possessif, 1re pers. pl."
ADJ.POSS_PRON_1S,"adjectif + pronom possessif, 1re pers. sg."
ADJ.POSS_PRON_2S,"adjectif + pronom possessif, 2e pers. sg."
ADJ.POSS_PRON_3FS,"adjectif + pronom possessif, 3e pers. fém. sg."
ADJ.POSS_PRON_3MP,"adjectif + pronom possessif, 3e pers. masc. pl."
ADJ.POSS_PRON_3MS,"adjectif + pronom possessif, 3e pers. masc. sg."
ADV-MSA.NSUFF_INDEF,"adverbe (arabe standard, MSA) + suffixe nominal indéfini (tanwin)"
ADV-MSA.NSUFF_MASC_SG_ACC_INDEF,"adverbe (arabe standard, MSA) + suffixe nominal masculin singulier, accusatif indéfini (tanwin al-fatha)"
ADV.ADJ,adverbe + adjectif
ADV.ADJ.NSUFF_MASC_PL.IVSUFF_DO:3FS,adverbe + adjectif + suffixe nominal masculin pluriel + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
ADV.ADV,adverbe + adverbe
ADV.DET.ADJ,adverbe + déterminant (article défini) + adjectif
ADV.DET.ADJ.NSUFF_FEM_SG,adverbe + déterminant (article défini) + adjectif + suffixe nominal féminin singulier
ADV.DET.NOUN,adverbe + déterminant (article défini) + nom
ADV.DET.NOUN-Foreign,adverbe + déterminant (article défini) + nom d'origine étrangère
ADV.DET.NOUN.NSUFF_FEM_PL,adverbe + déterminant (article défini) + nom + suffixe nominal féminin pluriel
ADV.DET.NOUN.NSUFF_FEM_SG,adverbe + déterminant (article défini) + nom + suffixe nominal féminin singulier
ADV.DET.NOUN.POSS_PRON_1S,"adverbe + déterminant (article défini) + nom + pronom possessif, 1re pers. sg."
ADV.DET.NOUN.POSS_PRON_2MP,"adverbe + déterminant (article défini) + nom + pronom possessif, 2e pers. masc. pl."
ADV.IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.CVSUFF_DO:1S,adverbe + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
ADV.IMPERATIVE_VERB.CVSUFF_SUBJ:2MS,adverbe + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.)
ADV.IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.CVSUFF_DO:1S,adverbe + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
ADV.IMPERATIVE_VERB.CVSUFF_SUBJ:2S,adverbe + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. sg.)
ADV.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"adverbe + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
ADV.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"adverbe + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
ADV.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ,"adverbe + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
ADV.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ,"adverbe + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
ADV.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ,"adverbe + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
ADV.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"adverbe + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
ADV.NOUN,adverbe + nom
ADV.NOUN.NSUFF_FEM_SG,adverbe + nom + suffixe nominal féminin singulier
ADV.NSUFF_FEM_SG,adverbe + suffixe nominal féminin singulier
ADV.NSUFF_INDEF,adverbe + suffixe nominal indéfini (tanwin)
ADV.NSUFF_MASC_SG_ACC_INDEF,"adverbe + suffixe nominal masculin singulier, accusatif indéfini (tanwin al-fatha)"
ADV.PERFECT_VERB.PVSUFF_SUBJ:1P,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. pl.)
ADV.PERFECT_VERB.PVSUFF_SUBJ:1S,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.)
ADV.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:3MS,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)
ADV.PERFECT_VERB.PVSUFF_SUBJ:2S,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.)
ADV.PERFECT_VERB.PVSUFF_SUBJ:3F,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.)
ADV.PERFECT_VERB.PVSUFF_SUBJ:3MS,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.)
ADV.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:3FS,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. fém. sg.)
ADV.PERFECT_VERB.PVSUFF_SUBJ:3P,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.)
ADV.PERFECT_VERB.PVSUFF_SUBJ:3P.PVSUFF_DO:1S,adverbe + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.)
ADV.POSS_PRON_1P,"adverbe + pronom possessif, 1re pers. pl."
ADV.POSS_PRON_1S,"adverbe + pronom possessif, 1re pers. sg."
ADV.POSS_PRON_2MP,"adverbe + pronom possessif, 2e pers. masc. pl."
ADV.POSS_PRON_2S,"adverbe + pronom possessif, 2e pers. sg."
ADV.POSS_PRON_3FS,"adverbe + pronom possessif, 3e pers. fém. sg."
ADV.POSS_PRON_3MS,"adverbe + pronom possessif, 3e pers. masc. sg."
ADV.PREP.DEM_PRON_S,adverbe + préposition + pronom démonstratif singulier
ADV.PREP.DET.NOUN,adverbe + préposition + déterminant (article défini) + nom
ADV.PREP.DET.NOUN-Foreign,adverbe + préposition + déterminant (article défini) + nom d'origine étrangère
ADV.PREP.DET.NOUN.NSUFF_FEM_SG,adverbe + préposition + déterminant (article défini) + nom + suffixe nominal féminin singulier
ADV.PREP.NOUN.NSUFF_FEM_SG,adverbe + préposition + nom + suffixe nominal féminin singulier
ADV.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"adverbe + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
ADV.PRON_1P,"adverbe + pronom personnel, 1re pers. pl."
ADV.PRON_1S,"adverbe + pronom personnel, 1re pers. sg."
ADV.PRON_2FS,"adverbe + pronom personnel, 2e pers. fém. sg."
ADV.PRON_2MS,"adverbe + pronom personnel, 2e pers. masc. sg."
ADV.PRON_2S,"adverbe + pronom personnel, 2e pers. sg."
ADV.PRON_3FS,"adverbe + pronom personnel, 3e pers. fém. sg."
ADV.PRON_3MS,"adverbe + pronom personnel, 3e pers. masc. sg."
ADV.PRON_3P,"adverbe + pronom personnel, 3e pers. pl."
ADV.REL_PRON,adverbe + pronom relatif
ADV.V-foreign.PVSUFF_SUBJ:3F,adverbe + verbe conjugué d'origine étrangère + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.)
ADV.V-foreign.PVSUFF_SUBJ:3MS,adverbe + verbe conjugué d'origine étrangère + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.)
ADV_PART.NOUN-MSA,"particule adverbiale + nom (arabe standard, MSA)"
Adverb.PERFECT_VERB.PVSUFF_SUBJ:3MS,adverbe [variante orthographique de ADV] + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.)
CONJ-MSA.IMPERATIVE_VERB_MSA.CVSUFF_SUBJ:2MS,"conjonction (arabe standard, MSA) + verbe à l'impératif (arabe standard, MSA) + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.)"
CONJ-MSA.NOUN.POSS_PRON_1S,"conjonction (arabe standard, MSA) + nom + pronom possessif, 1re pers. sg."
CONJ-MSA.PRON_1S,"conjonction (arabe standard, MSA) + pronom personnel, 1re pers. sg."
CONJ-MSA.PRON_3FS,"conjonction (arabe standard, MSA) + pronom personnel, 3e pers. fém. sg."
CONJ.ADJ,conjonction (proclitique) + adjectif
CONJ.ADJ-MSA,"conjonction (proclitique) + adjectif (arabe standard, MSA)"
CONJ.ADJ-MSA.NSUFF_FEM_SG,"conjonction (proclitique) + adjectif (arabe standard, MSA) + suffixe nominal féminin singulier"
CONJ.ADJ-foreign,conjonction (proclitique) + adjectif d'origine étrangère
CONJ.ADJ.IVSUFF_SUBJ,conjonction (proclitique) + adjectif + suffixe sujet du verbe à l'inaccompli
CONJ.ADJ.IVSUFF_SUBJ.IVSUFF_DO:1S,conjonction (proclitique) + adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)
CONJ.ADJ.IVSUFF_SUBJ.IVSUFF_DO:3FS,conjonction (proclitique) + adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
CONJ.ADJ.NSUFF_FEM_SG,conjonction (proclitique) + adjectif + suffixe nominal féminin singulier
CONJ.ADJ.NSUFF_FEM_SG.IVSUFF_DO:1P,conjonction (proclitique) + adjectif + suffixe nominal féminin singulier + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)
CONJ.ADJ.NSUFF_MASC_PL,conjonction (proclitique) + adjectif + suffixe nominal masculin pluriel
CONJ.ADJ.NSUFF_MASC_PL.IVSUFF_DO:3FS,conjonction (proclitique) + adjectif + suffixe nominal masculin pluriel + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)
CONJ.ADV,conjonction (proclitique) + adverbe
CONJ.ADV-MSA,"conjonction (proclitique) + adverbe (arabe standard, MSA)"
CONJ.ADV-MSA.NSUFF_INDEF,"conjonction (proclitique) + adverbe (arabe standard, MSA) + suffixe nominal indéfini (tanwin)"
CONJ.ADV-foreign,conjonction (proclitique) + adverbe d'origine étrangère
CONJ.ADV.NSUFF_FEM_SG,conjonction (proclitique) + adverbe + suffixe nominal féminin singulier
CONJ.ADV.NSUFF_INDEF,conjonction (proclitique) + adverbe + suffixe nominal indéfini (tanwin)
CONJ.ADV.PRG_PART.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS,"conjonction (proclitique) + adverbe + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.)"
CONJ.ADV.PRON_1S,"conjonction (proclitique) + adverbe + pronom personnel, 1re pers. sg."
CONJ.ADV.PRON_2FS,"conjonction (proclitique) + adverbe + pronom personnel, 2e pers. fém. sg."
CONJ.ADV.PRON_2S,"conjonction (proclitique) + adverbe + pronom personnel, 2e pers. sg."
CONJ.ADV.PRON_3FS,"conjonction (proclitique) + adverbe + pronom personnel, 3e pers. fém. sg."
CONJ.ADV.PRON_3MS,"conjonction (proclitique) + adverbe + pronom personnel, 3e pers. masc. sg."
CONJ.CONJ,conjonction (proclitique) + conjonction (proclitique)
CONJ.CONJ.DET.NOUN,conjonction (proclitique) + conjonction (proclitique) + déterminant (article défini) + nom
CONJ.CONJ.DET.NOUN.NSUFF_FEM_SG,conjonction (proclitique) + conjonction (proclitique) + déterminant (article défini) + nom + suffixe nominal féminin singulier
CONJ.CONJ.NSUFF_FEM_SG,conjonction (proclitique) + conjonction (proclitique) + suffixe nominal féminin singulier
CONJ.DEM_PRON,conjonction (proclitique) + pronom démonstratif
CONJ.DEM_PRON_FS,conjonction (proclitique) + pronom démonstratif féminin singulier
CONJ.DEM_PRON_FS_MSA,"conjonction (proclitique) + pronom démonstratif féminin singulier (arabe standard, MSA)"
CONJ.DEM_PRON_MS,conjonction (proclitique) + pronom démonstratif masculin singulier
CONJ.DEM_PRON_S,conjonction (proclitique) + pronom démonstratif singulier
CONJ.DET.ADJ,conjonction (proclitique) + déterminant (article défini) + adjectif
CONJ.DET.ADJ-MSA,"conjonction (proclitique) + déterminant (article défini) + adjectif (arabe standard, MSA)"
CONJ.DET.ADJ-MSA.NSUFF_FEM_SG,"conjonction (proclitique) + déterminant (article défini) + adjectif (arabe standard, MSA) + suffixe nominal féminin singulier"
CONJ.DET.ADJ-foreign,conjonction (proclitique) + déterminant (article défini) + adjectif d'origine étrangère
CONJ.DET.ADJ.NSUFF_FEM_SG,conjonction (proclitique) + déterminant (article défini) + adjectif + suffixe nominal féminin singulier
CONJ.DET.NOUN,conjonction (proclitique) + déterminant (article défini) + nom
CONJ.DET.NOUN-Foreign,conjonction (proclitique) + déterminant (article défini) + nom d'origine étrangère
CONJ.DET.NOUN-Foreign.NSUFF_FEM_PL,conjonction (proclitique) + déterminant (article défini) + nom d'origine étrangère + suffixe nominal féminin pluriel
CONJ.DET.NOUN-Foreign.NSUFF_FEM_SG,conjonction (proclitique) + déterminant (article défini) + nom d'origine étrangère + suffixe nominal féminin singulier
CONJ.DET.NOUN-MSA,"conjonction (proclitique) + déterminant (article défini) + nom (arabe standard, MSA)"
CONJ.DET.NOUN-MSA.NSUFF_FEM_PL,"conjonction (proclitique) + déterminant (article défini) + nom (arabe standard, MSA) + suffixe nominal féminin pluriel"
CONJ.DET.NOUN-MSA.NSUFF_FEM_SG,"conjonction (proclitique) + déterminant (article défini) + nom (arabe standard, MSA) + suffixe nominal féminin singulier"
CONJ.DET.NOUN.IVSUFF_SUBJ,conjonction (proclitique) + déterminant (article défini) + nom + suffixe sujet du verbe à l'inaccompli
CONJ.DET.NOUN.NSUFF_FEM_PL,conjonction (proclitique) + déterminant (article défini) + nom + suffixe nominal féminin pluriel
CONJ.DET.NOUN.NSUFF_FEM_SG,conjonction (proclitique) + déterminant (article défini) + nom + suffixe nominal féminin singulier
CONJ.DET.NOUN.NSUFF_MASC_PL,conjonction (proclitique) + déterminant (article défini) + nom + suffixe nominal masculin pluriel
CONJ.DET.PROPN,conjonction (proclitique) + déterminant (article défini) + nom propre
CONJ.EMPHATIC_PARTICLE.PRON_3MS,"conjonction (proclitique) + particule d'emphase + pronom personnel, 3e pers. masc. sg."
CONJ.EMP_PART.NOUN,conjonction (proclitique) + particule d'emphase (clitique) + nom
CONJ.EMP_PART.PRON_1S,"conjonction (proclitique) + particule d'emphase (clitique) + pronom personnel, 1re pers. sg."
CONJ.EMP_PART.PRON_2S,"conjonction (proclitique) + particule d'emphase (clitique) + pronom personnel, 2e pers. sg."
CONJ.EMP_PART.PRON_3FS,"conjonction (proclitique) + particule d'emphase (clitique) + pronom personnel, 3e pers. fém. sg."
CONJ.EMP_PART.PRON_3MS,"conjonction (proclitique) + particule d'emphase (clitique) + pronom personnel, 3e pers. masc. sg."
CONJ.EXCLAM_PART,conjonction (proclitique) + particule exclamative
CONJ.FUNC_WORD,conjonction (proclitique) + mot outil / mot fonctionnel
CONJ.FUNC_WORD-MSA,"conjonction (proclitique) + mot outil / mot fonctionnel (arabe standard, MSA)"
CONJ.FUNC_WORD-MSA.PRON_1P,"conjonction (proclitique) + mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 1re pers. pl."
CONJ.FUNC_WORD-MSA.PRON_3FS,"conjonction (proclitique) + mot outil / mot fonctionnel (arabe standard, MSA) + pronom personnel, 3e pers. fém. sg."
CONJ.FUNC_WORD.PRON_1S,"conjonction (proclitique) + mot outil / mot fonctionnel + pronom personnel, 1re pers. sg."
CONJ.FUNC_WORD.PRON_3FS,"conjonction (proclitique) + mot outil / mot fonctionnel + pronom personnel, 3e pers. fém. sg."
CONJ.FUNC_WORD.PRON_3MS,"conjonction (proclitique) + mot outil / mot fonctionnel + pronom personnel, 3e pers. masc. sg."
CONJ.FUT_PART.IMPERFECT_VERB.IVSUFF_SUBJ,conjonction (proclitique) + particule du futur + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli
CONJ.FUT_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.FUT_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:2MS,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. sg.)"
CONJ.FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.FUT_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
CONJ.FUT_PART.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.)"
CONJ.FUT_PART.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1P,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.)"
CONJ.FUT_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
CONJ.FUT_PART.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + particule du futur + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.IMPERATIVE_VERB,conjonction (proclitique) + verbe à l'impératif
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2FS,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.CVSUFF_DO:1S,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2FS.CVSUFF_DO:3FS,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. fém. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2MP,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. pl.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2MP.CVSUFF_DO:1S,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. pl.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2MP.CVSUFF_DO:3FS,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. pl.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. fém. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2MS,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.CVSUFF_DO:1S,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2MS.CVSUFF_DO:3MS,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (3e pers. masc. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:2S.CVSUFF_DO:1S,conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. sg.) + suffixe clitique objet direct sur le verbe à l'impératif (1re pers. sg.)
CONJ.IMPERATIVE_VERB.CVSUFF_SUBJ:P.Prep.PRON_1S,"conjonction (proclitique) + verbe à l'impératif + suffixe sujet du verbe à l'impératif (pl.) + préposition [variante de casse] + pronom personnel, 1re pers. sg."
CONJ.IMPERFECT_VERB.IVSUFF_SUBJ,conjonction (proclitique) + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli
CONJ.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3MS,conjonction (proclitique) + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)
CONJ.INTERJ,conjonction (proclitique) + interjection
CONJ.INTERJ.NSUFF_INDEF,conjonction (proclitique) + interjection + suffixe nominal indéfini (tanwin)
CONJ.INTERJ.PRON_2FS,"conjonction (proclitique) + interjection + pronom personnel, 2e pers. fém. sg."
CONJ.INTERJ.PRON_3FS,"conjonction (proclitique) + interjection + pronom personnel, 3e pers. fém. sg."
